,difficulty,question_number,duration,count,frequency,participant_number,magnitude
104,3.0,0.0,0.0,0.0,0.0,8,77
105,3.0,0.0,0.0,0.0,0.0,8,77
106,3.0,3.0,0.112,1.0,8.928571428571429,8,31
107,3.0,3.0,0.112,1.0,8.928571428571429,8,43
108,3.0,3.0,0.112,1.0,8.928571428571429,8,61
109,3.0,3.0,0.14800000000000002,3.0,20.27027027027027,8,62
110,4.0,4.0,0.1248,5.0,40.06410256410257,8,86
111,4.0,4.0,0.128,4.0,31.25,8,22
112,4.0,4.0,0.1228,5.0,40.71661237785017,8,32
113,4.0,4.0,0.1228,5.0,40.71661237785017,8,83
114,5.0,5.0,0.1325,4.0,30.188679245283016,8,32
115,5.0,5.0,0.175,2.0,11.428571428571427,8,8
116,5.0,5.0,0.175,2.0,11.428571428571427,8,84
117,5.0,5.0,0.256,2.0,7.8125,8,28
118,5.0,5.0,0.256,2.0,7.8125,8,73
119,6.0,6.0,0.264,1.0,3.787878787878788,8,64
120,6.0,6.0,0.278,2.0,7.1942446043165456,8,2
121,6.0,6.0,0.1845,4.0,21.680216802168022,8,45
122,6.0,6.0,0.158,3.0,18.98734177215189,8,55
123,6.0,6.0,0.139,4.0,28.776978417266182,8,63
124,6.0,6.0,0.139,4.0,28.776978417266182,8,33
125,6.0,6.0,0.09,4.0,44.444444444444436,8,79
126,7.0,7.0,0.08900000000000001,2.0,22.471910112359552,8,39
127,7.0,7.0,0.08800000000000001,4.0,45.45454545454545,8,47
128,7.0,7.0,0.09,4.0,44.444444444444436,8,57
129,7.0,7.0,0.094,7.0,74.46808510638297,8,88
130,7.0,7.0,0.09366666666666668,6.0,64.05693950177935,8,42
131,7.0,7.0,0.09366666666666668,6.0,64.05693950177935,8,83
132,7.0,7.0,0.097,4.0,41.23711340206185,8,32
133,8.0,8.0,0.09933333333333333,3.0,30.2013422818792,8,67
134,8.0,8.0,0.27,1.0,3.7037037037037033,8,17
135,8.0,8.0,0.158,2.0,12.658227848101266,8,59
136,8.0,8.0,0.25466666666666665,3.0,11.780104712041886,8,32
137,8.0,8.0,0.2185,4.0,18.30663615560641,8,15
138,8.0,8.0,0.17733333333333334,6.0,33.83458646616541,8,42
139,8.0,8.0,0.1588,5.0,31.486146095717892,8,99
140,8.0,8.0,0.187,4.0,21.390374331550802,8,2
141,9.0,9.0,0.1,3.0,30.000000000000004,8,5
142,9.0,9.0,0.095,2.0,21.05263157894737,8,49
143,9.0,9.0,0.208,1.0,4.807692307692308,8,63
144,9.0,9.0,0.16799999999999998,2.0,11.904761904761909,8,71
145,9.0,9.0,0.13099999999999998,4.0,30.53435114503817,8,34
146,9.0,9.0,0.13099999999999998,4.0,30.53435114503817,8,1
147,9.0,9.0,0.12079999999999998,5.0,41.3907284768212,8,18
148,9.0,9.0,0.099,4.0,40.4040404040404,8,67
149,9.0,9.0,0.08933333333333332,3.0,33.582089552238806,8,1
150,10.0,10.0,0.079,2.0,25.31645569620253,8,11
151,10.0,10.0,0.079,2.0,25.31645569620253,8,98
152,10.0,10.0,0.17500000000000002,2.0,11.428571428571427,8,55
153,10.0,10.0,0.14333333333333334,3.0,20.930232558139533,8,70
154,10.0,10.0,0.13699999999999998,4.0,29.197080291970806,8,39
155,10.0,10.0,0.2225,4.0,17.97752808988764,8,91
156,10.0,10.0,0.2225,4.0,17.97752808988764,8,84
157,10.0,10.0,0.184,4.0,21.73913043478261,8,16
158,11.0,11.0,0.183,4.0,21.857923497267766,8,88
159,11.0,11.0,0.20466666666666666,3.0,14.657980456026056,8,12
160,11.0,11.0,0.097,2.0,20.618556701030926,8,73
161,11.0,11.0,0.097,2.0,20.618556701030926,8,47
162,11.0,11.0,0.076,1.0,13.157894736842106,8,15
163,11.0,11.0,0.0,0.0,0.0,8,7
164,11.0,11.0,0.0,0.0,0.0,8,84
165,11.0,11.0,0.0,0.0,0.0,8,54
166,11.0,11.0,0.0,0.0,0.0,8,37
167,11.0,11.0,0.106,1.0,9.433962264150944,8,63
168,11.0,11.0,0.106,1.0,9.433962264150944,8,33
169,11.0,11.0,0.106,1.0,9.433962264150944,8,30
170,11.0,11.0,0.106,1.0,9.433962264150944,8,88
171,11.0,11.0,0.112,1.0,8.928571428571429,8,37
172,11.0,11.0,0.21266666666666667,3.0,14.106583072100316,8,9
173,11.0,11.0,0.21266666666666667,3.0,14.106583072100316,8,72
174,12.0,12.0,0.21266666666666667,3.0,14.106583072100316,8,25
175,12.0,12.0,0.18600000000000005,4.0,21.505376344086017,8,11
176,12.0,12.0,0.21066666666666667,3.0,14.240506329113927,8,93
177,12.0,12.0,0.105,2.0,19.047619047619047,8,41
178,12.0,12.0,0.105,2.0,19.047619047619047,8,43
179,12.0,12.0,0.15133333333333332,3.0,19.823788546255507,8,86
180,12.0,12.0,0.174,2.0,11.494252873563221,8,13
181,12.0,12.0,0.17866666666666667,3.0,16.791044776119403,8,10
182,12.0,12.0,0.21600000000000005,2.0,9.25925925925926,8,82
183,12.0,12.0,0.17650000000000002,4.0,22.6628895184136,8,48
184,12.0,12.0,0.1865,4.0,21.447721179624665,8,43
185,12.0,12.0,0.1832,5.0,27.29257641921397,8,73
186,13.0,13.0,0.182,4.0,21.978021978021975,8,17
187,13.0,13.0,0.182,4.0,21.978021978021975,8,1
188,13.0,13.0,0.22699999999999998,2.0,8.810572687224669,8,52
189,13.0,13.0,0.14200000000000002,2.0,14.08450704225352,8,72
190,13.0,13.0,0.114,2.0,17.543859649122805,8,92
191,13.0,13.0,0.114,2.0,17.543859649122805,8,89
192,13.0,13.0,0.114,2.0,17.543859649122805,8,97
193,13.0,13.0,0.114,2.0,17.543859649122805,8,71
194,13.0,13.0,0.114,1.0,8.771929824561402,8,91
195,13.0,13.0,0.0,0.0,0.0,8,95
196,13.0,13.0,0.14333333333333334,3.0,20.930232558139533,8,22
197,13.0,13.0,0.14750000000000002,4.0,27.118644067796605,8,10
198,13.0,13.0,0.14750000000000002,4.0,27.118644067796605,8,86
199,13.0,13.0,0.17160000000000006,5.0,29.13752913752913,8,76
200,13.0,13.0,0.16742857142857145,7.0,41.80887372013653,8,34
201,13.0,13.0,0.1496,5.0,33.42245989304813,8,37
204,14.0,14.0,0.10666666666666663,3.0,28.12500000000001,8,20
205,14.0,14.0,0.006,1.0,166.66666666666666,8,87
206,14.0,14.0,0.0,0.0,0.0,8,51
